ID,Nombre,Este,Norte,Tipo Tecnología,zona o huso,Huso,banda,Latitud,Longitud,,
19,PE LEBU,619571.6065,5828898.504,Eólica,18H,18,H,-37.67932615,-73.64401093,,
83,PE CANELA II,252455.9996,6532721.018,Eólica,19J,19,J,-31.31359878,-71.60114386,,
118,PE CANELA,252276.0001,6535518.994,Eólica,19J,19,J,-31.288341,-71.60233996,,
145,PE MONTE REDONDO,246429.9995,6558791.018,Eólica,19J,19,J,-31.077327,-71.65782602,,
170,PE TOTORAL,251545.9996,6531368.018,Eólica,19J,19,J,-31.32559986,-71.61103426,,
223,PE PUNTA COLORADA,300187.6011,6749678.361,Eólica,19J,19,J,-29.36622163,-71.05853062,,
238,PE TALINAY ORIENTE,252236.9996,6581553.018,Eólica,19J,19,J,-30.87339074,-71.59145976,,
251,PE CUEL,721518.0794,5845517.697,Eólica,18H,18,H,-37.51072424,-72.49370805,,
268,PE SAN PEDRO,587406.877,5319658.457,Eólica,18G,18,G,-42.27038731,-73.94009302,,
276,PE EL ARRAYAN,241256.9995,6613923.019,Eólica,19J,19,J,-30.579273,-71.69805449,,
281,PE UCUQUER II,257924.9995,6230005.018,Eólica,19H,19,H,-34.04271867,-71.62230837,,
282,PE PUNTA PALMERAS,248506.9996,6541405.018,Eólica,19J,19,J,-31.23448088,-71.64041942,,
283,PE TALTAL,414421,7228198.011,Eólica,19J,19,J,-25.05947721,-69.84846386,,
289,PE TALINAY PONIENTE,251544.9948,6582676.997,Eólica,19J,19,J,-30.863114,-71.59841796,,
295,PMGD PE UCUQUER,258988.9996,6229800.018,Eólica,19H,19,H,-34.04481085,-71.61084962,,
318,PE LOS CURUROS,246372.9995,6564046.018,Eólica,19J,19,J,-31.02994922,-71.65710552,,
334,PMGD PE RAKI,626115,5821372.014,Eólica,18H,18,H,-37.74626735,-73.56852263,,
342,PE RENAICO I,712553,5821851,Eólica,18H,18,H,-37.72596296,-72.58817785,,
345,PE LOS BUENOS AIRES,720199.9575,5842382.984,Eólica,18H,18,H,-37.539268,-72.50766904,,
350,PMGD PE HUAJACHE,626114.54,5821372.7,Eólica,18H,18,H,-37.74626123,-73.56852797,,
360,PE LA ESPERANZA,717419.023,5835410.022,Eólica,18H,18,H,-37.602721,-72.53705004,,
365,PE SAN JUAN,260338.0141,6803823.967,Eólica,19J,19,J,-28.871001,-71.45714697,,
366,PE SAN PEDRO II,589535.0015,5318425.969,Eólica,18G,18,G,-42.28124401,-73.91410101,,
406,PE VALLE DE LOS VIENTOS,518298.8537,7513327.976,Eólica,19K,19,K,-22.48635435,-68.82210858,,
414,PMGD PE LAS PEÑAS,640085,5875282.014,Eólica,18H,18,H,-37.25849493,-73.42027791,,
436,PMGD PE LEBU III,619564.86,5828555.67,Eólica,18H,18,H,-37.68241626,-73.64403118,,
454,PE SIERRA GORDA ESTE,502596,7470021,Eólica,19K,19,K,-22.87767737,-68.97469135,,
478,PE CABO LEONES,260993,6798412,Eólica,19J,19,J,-28.91992736,-71.45158384,,
512,PE AURORA,654058.13,5433196.71,Eólica,18G,18,G,-41.2379632,-73.16160277,,
516,PE SARCO,263735.88,6805382.09,Eólica,19J,19,J,-28.85758015,-71.42201008,,
531,PE PUNTA SIERRA,249936.93,6551910.19,Eólica,19 J,19,J,-31.1401002,-71.62280599,,
544,PE SAN GABRIEL,717985.34,5827627.45,Eólica,18H,18,H,-37.67266948,-72.52831822,,
594,PE EL MAITEN,717112.06,5872368.34,Eólica,18H,18,H,-37.26996629,-72.55139835,,
607,PMGD PE EL ARREBOL,624367.18,5844240.15,Eólica,18 H,18,H,-37.54044841,-73.59225058,,
611,PE LA FLOR,711096,5829304,Eólica,18H,18,H,-37.65918209,-72.60685629,,
621,PMGD PE EL NOGAL,727803.03,5836616.12,Eólica,18 H,18,H,-37.58934818,-72.41990081,,
626,PE TOLPAN SUR,712859,5826350,Eólica,18H,18,H,-37.68537692,-72.58602369,,
636,PE CABO LEONES III,255357,6798880,Eólica,19J,19,J,-28.91464255,-71.50924752,,
1658,PE CABO LEONES II,261743,6790295,Eólica,19J,19,J,-28.99326448,-71.44561694,,
1667,PE NEGRETE,714574,5835798,Eólica,18H,18,H,-37.59989515,-72.56936579,,
1682,PE LA ESTRELLA,257401.819,6218411.78,Eólica,19J,19,J,-34.14704412,-71.63120279,,
1685,PE CALAMA,519563,7513452,Eólica,19K,19,K,-22.48521989,-68.80982082,,
1690,PE ALENA,716082.46,5848487.42,Eólica,18H,18,H,-37.48526918,-72.55602791,,
1691,PE TCHAMMA,492341,7511625,Eólica,19K,19,K,-22.50182001,-69.07446494,,
1706,PE MALLECO SUR,740358,5789440,Eólica,18H,18,H,-38.01087976,-72.26220363,,
1707,PE MALLECO NORTE,740358,5789440,Eólica,18H,18,H,-38.01087976,-72.26220363,,
1712,PE CERRO TIGRE,406316.08,7371925.92,Eólica,19,19,,-23.7610443,-69.91936238,,
1753,PE RENAICO II,712062,5821551,Eólica,18H,18,H,-37.72877839,-72.59365721,,
1757,PE LOS OLMOS,725834,5830700,Eólica,18H,18,H,-37.643105,-72.44035492,,
1758,PE MESAMAVIDA,724841,5848870,Eólica,19H,19,H,-37.47973402,-72.44035492,,
1800,PE LOMAS DE DUQUECO,730890,5843634,Eólica,18H,18,H,-37.52538873,-72.38717974,,
1815,PE PUELCHE SUR,668281.83,5455665.34,Eólica,18G,18,G,-41.03285494,-72.99812607,,
1819,PE LLANOS DEL  VIENTO,397860.683,7371491.536,Eólica,19K,19,K,-23.76445127,-70.00235956,,
1845,PE CAMPO LINDO,721816.9,5857691.8,Eólica,18H,18,H,-37.40102372,-72.49399303,,
1995,PE ATACAMA,258259,6795074,Eólica,19J,19,J,-28.94951463,-71.48032294,,
239,PFV SDGX01,298623.9999,6654191.015,Fotovoltaica,19J,19,J,-30.22716286,-71.09248136,,
247,PFV LLANO DE LLAMPOS,383921,7000014.012,Fotovoltaica,19J,19,J,-27.11746063,-70.17114339,,
248,PFV SAN ANDRES,389995,6984918.012,Fotovoltaica,19J,19,J,-27.25422452,-70.11122074,,
269,PFV DIEGO DE ALMAGRO,398306,7081876.012,Fotovoltaica,19J,19,J,-26.37958883,-70.01941657,,
278,PMGD PFV SANTA CECILIA,313930.54,6778671.74,Fotovoltaica,19J,19,J,-29.10679414,-70.91214598,,
284,PFV LALACKAMA,368543.41,7221044.58,Fotovoltaica,19J,19,J,-25.12076814,-70.30391997,,
285,PFV CHAÑARES,393687.9608,7082373.001,Fotovoltaica,19J,19,J,-26.374765,-70.06566199,,
288,PFV SALVADOR,413357,7089238.012,Fotovoltaica,19J,19,J,-26.3141167,-69.8680589,,
